Delivery_person_Age,Delivery_person_Ratings,Type_of_order,Type_of_vehicle,Time_taken(min),Distance
24,4.9,Snack ,motorcycle ,21,10.428
31,4.9,Buffet ,motorcycle ,22,4.47
30,5,Drinks ,motorcycle ,48,13.83
38,4.7,Snack ,scooter ,43,13.583
20,4.8,Drinks ,motorcycle ,12,8.953
35,4.9,Meal ,motorcycle ,34,6.082
31,4.8,Meal ,scooter ,36,16.854
36,4.2,Drinks ,motorcycle ,30,1.553
33,4.9,Snack ,motorcycle ,22,1.573
26,4.2,Drinks ,motorcycle ,20,4.588
21,4.9,Meal ,motorcycle ,29,16.85
38,4.4,Snack ,motorcycle ,25,9.435
38,4.6,Buffet ,scooter ,29,4.718
22,4.5,Meal ,motorcycle ,25,6.041
30,4.3,Snack ,motorcycle ,43,20.254
24,4.8,Snack ,motorcycle ,16,17.075
21,4.2,Snack ,motorcycle ,31,20.208
29,4.6,Drinks ,electric_scooter ,11,1.52
20,4.7,Snack ,motorcycle ,11,9.272
22,4.8,Meal ,motorcycle ,20,4.587
38,4.8,Buffet ,motorcycle ,26,6.232
20,4.9,Drinks ,scooter ,17,9.316
28,4.7,Snack ,motorcycle ,11,1.573
26,4.7,Buffet ,scooter ,16,4.561
33,4.2,Drinks ,scooter ,36,10.906
24,4.2,Drinks ,motorcycle ,31,10.706
30,4.7,Drinks ,scooter ,24,1.558
34,4.3,Drinks ,scooter ,32,7.684
25,4.8,Drinks ,motorcycle ,28,13.787
30,4.8,Snack ,scooter ,35,9.088
27,4.5,Meal ,motorcycle ,22,12.293
39,4.9,Meal ,scooter ,23,12.293
21,4.7,Meal ,scooter ,22,1.465
21,4.9,Drinks ,scooter ,27,12.294
36,4.2,Snack ,motorcycle ,31,4.597
29,4.8,Meal ,scooter ,24,10.866
35,4.7,Meal ,motorcycle ,27,9.316
27,4.4,Meal ,motorcycle ,21,4.405
38,4,Meal ,motorcycle ,27,3.041
23,4.8,Buffet ,motorcycle ,22,4.53
36,4.8,Buffet ,motorcycle ,26,7.449
30,4.3,Snack ,motorcycle ,49,20.178
38,4.4,Snack ,scooter ,31,9.316
30,4.9,Buffet ,motorcycle ,15,4.658
28,4.3,Drinks ,motorcycle ,35,12.162
24,4.6,Meal ,motorcycle ,14,16.902
29,4.6,Buffet ,motorcycle ,44,12.162
36,4.9,Meal ,motorcycle ,24,7.79
31,4.1,Buffet ,motorcycle ,34,7.79
34,5,Drinks ,motorcycle ,31,9.316
28,4.9,Meal ,motorcycle ,19,17.298
27,4.7,Snack ,motorcycle ,21,6.038
32,4.1,Drinks ,scooter ,32,12.08
35,4.8,Meal ,motorcycle ,27,9.192
28,4.9,Buffet ,scooter ,18,12.421
32,4,Snack ,motorcycle ,37,12.58
25,4.7,Buffet ,scooter ,19,12.074
32,4.6,Meal ,motorcycle ,16,6.21
37,4.8,Snack ,motorcycle ,22,7.66
29,4.7,Buffet ,scooter ,13,2.98
32,5,Snack ,motorcycle ,28,7.449
25,4.7,Buffet ,motorcycle ,24,1.558
33,3.9,Meal ,scooter ,43,13.735
27,4.5,Buffet ,motorcycle ,35,13.407
37,4.8,Snack ,scooter ,28,12.417
21,5,Buffet ,motorcycle ,14,4.579
27,4.9,Meal ,scooter ,20,19.884
29,4.8,Meal ,scooter ,10,7.684
35,5,Buffet ,motorcycle ,27,6.059
22,5,Meal ,motorcycle ,21,14.153
22,4.8,Drinks ,scooter ,22,12.074
37,4.9,Drinks ,scooter ,20,7.763
28,4.7,Snack ,motorcycle ,36,17.074
31,4.9,Drinks ,motorcycle ,21,19.885
34,4.7,Buffet ,motorcycle ,37,19.913
31,4.6,Snack ,motorcycle ,29,6.038
23,4.8,Snack ,motorcycle ,38,10.708
36,4.7,Buffet ,scooter ,11,3.025
24,4.8,Drinks ,motorcycle ,13,7.772
28,4.7,Drinks ,motorcycle ,28,9.176
23,4.6,Buffet ,motorcycle ,26,16.636
28,4.6,Buffet ,electric_scooter ,27,12.58
28,4.8,Drinks ,motorcycle ,25,12.421
25,4.8,Snack ,motorcycle ,29,17.076
37,3.8,Drinks ,motorcycle ,32,20.253
39,4.1,Meal ,scooter ,42,19.84
22,4.6,Meal ,scooter ,22,4.664
31,4.9,Drinks ,motorcycle ,29,13.428
33,4.9,Meal ,scooter ,24,16.647
29,4.8,Drinks ,motorcycle ,38,13.622
27,4.6,Meal ,scooter ,18,4.541
23,4.5,Buffet ,motorcycle ,17,7.573
28,4.4,Buffet ,motorcycle ,24,4.469
23,4.8,Drinks ,scooter ,17,13.183
26,4.8,Buffet ,motorcycle ,29,12.465
31,4.9,Snack ,scooter ,31,7.563
29,4.6,Snack ,scooter ,39,16567.683
36,4.4,Snack ,motorcycle ,38,10.756
29,4.6,Meal ,motorcycle ,27,7.772
39,4.9,Snack ,motorcycle ,21,10.684
31,4.7,Meal ,motorcycle ,25,1.52
39,5,Buffet ,motorcycle ,52,12.42
34,4.7,Meal ,motorcycle ,42,20.854
38,4.8,Meal ,scooter ,28,7.343
20,4.6,Meal ,motorcycle ,29,7.547
34,4.9,Meal ,electric_scooter ,15,4.469
37,4.3,Meal ,motorcycle ,43,10.425
30,4.4,Meal ,motorcycle ,32,9.192
24,4,Drinks ,scooter ,32,20.183
22,4.7,Buffet ,motorcycle ,22,12.293
27,4.7,Buffet ,scooter ,11,9.435
35,4.4,Snack ,motorcycle ,40,12.162
31,4.5,Buffet ,motorcycle ,25,4.538
27,4.6,Drinks ,motorcycle ,27,6.05
37,4.7,Buffet ,scooter ,21,7.461
31,4.1,Snack ,scooter ,44,17.074
29,4.6,Drinks ,motorcycle ,33,17456.001
21,5,Buffet ,scooter ,24,3.109
27,4,Drinks ,scooter ,34,4.675
38,4.6,Drinks ,scooter ,28,4.657
22,4,Meal ,motorcycle ,32,4.464
36,4.6,Buffet ,scooter ,26,4.469
38,4.8,Drinks ,scooter ,19,11.916
34,4.9,Drinks ,scooter ,38,5.959
34,4.8,Snack ,motorcycle ,27,6.147
20,4.7,Drinks ,motorcycle ,20,16.647
31,4.7,Buffet ,motorcycle ,28,2.977
25,5,Meal ,motorcycle ,27,1.558
28,4.9,Drinks ,motorcycle ,17,12.435
39,4.1,Drinks ,motorcycle ,37,19.761
33,4.9,Drinks ,motorcycle ,49,16.6
30,4.5,Meal ,motorcycle ,39,12.465
25,4.9,Snack ,motorcycle ,18,9.056
38,4.9,Drinks ,motorcycle ,18,4.664
26,4.4,Snack ,electric_scooter ,31,17.298
22,4.8,Buffet ,scooter ,20,13.681
24,4.6,Meal ,scooter ,26,16.647
31,4.7,Drinks ,scooter ,27,7.761
26,4.9,Buffet ,motorcycle ,21,3.074
23,5,Meal ,scooter ,11,7.684
36,4.9,Snack ,motorcycle ,22,3.061
20,4.8,Snack ,motorcycle ,25,10.486
25,4.7,Snack ,scooter ,20,1.558
25,4.7,Meal ,motorcycle ,11,10.642
36,4.8,Meal ,electric_scooter ,31,19.878
20,5,Drinks ,motorcycle ,23,1.465
23,4.6,Buffet ,motorcycle ,14,4.561
35,4.7,Buffet ,scooter ,12,1.49
37,5,Buffet ,scooter ,25,10.417
33,4.9,Meal ,motorcycle ,28,6.21
22,4.2,Meal ,motorcycle ,15,3.074
23,5,Buffet ,motorcycle ,26,9.056
34,4.7,Drinks ,motorcycle ,16,7.602
27,4.7,Buffet ,motorcycle ,49,12.257
34,4.6,Drinks ,motorcycle ,24,3.109
33,4.6,Drinks ,scooter ,41,16.637
29,4.6,Snack ,motorcycle ,15,1.509
31,4.8,Meal ,scooter ,17,12.58
39,4.8,Snack ,motorcycle ,28,3.073
32,4.6,Snack ,motorcycle ,43,12.294
21,4.7,Drinks ,motorcycle ,36,20.254
22,4.6,Drinks ,electric_scooter ,24,19.894
35,5,Snack ,scooter ,21,4.657
29,4.9,Drinks ,motorcycle ,24,9.315
35,4.8,Drinks ,motorcycle ,38,3.088
30,4.8,Buffet ,motorcycle ,24,16.788
29,4.6,Snack ,motorcycle ,27,6.129
39,5,Snack ,scooter ,31,4.469
30,4.9,Buffet ,motorcycle ,17,7.632
29,4.6,Buffet ,motorcycle ,11,7.683
36,5,Snack ,scooter ,25,12.21
35,4.5,Drinks ,scooter ,19,7.683
29,4.6,Drinks ,scooter ,49,19.977
24,4.8,Meal ,scooter ,14,1.555
29,4.8,Snack ,scooter ,25,16.825
36,4.6,Snack ,motorcycle ,29,4.561
25,4.6,Snack ,scooter ,12,1.465
35,4.4,Snack ,electric_scooter ,36,11.905
26,4.8,Drinks ,motorcycle ,23,7.449
22,4.5,Drinks ,motorcycle ,25,1.537
32,4,Drinks ,motorcycle ,35,12.257
23,4.6,Snack ,scooter ,18,4.658
38,4.7,Snack ,scooter ,24,1.532
26,4.9,Drinks ,motorcycle ,10,3.03
31,4.5,Buffet ,scooter ,36,12.421
21,4.6,Buffet ,motorcycle ,22,19.042
39,4.7,Buffet ,scooter ,28,19.661
23,4.6,Buffet ,scooter ,29,17.298
21,4.9,Drinks ,scooter ,18,12.421
28,4.9,Drinks ,scooter ,24,9.056
38,4.8,Snack ,motorcycle ,49,10.869
38,4.7,Drinks ,motorcycle ,22,4.663
36,4.8,Drinks ,motorcycle ,25,1.53
35,4.6,Meal ,motorcycle ,30,10.867
23,4.2,Drinks ,motorcycle ,32,19.66
26,4.8,Snack ,motorcycle ,29,13.583
35,4,Drinks ,motorcycle ,38,6.232
25,4.6,Drinks ,scooter ,27,13.972
39,4.7,Drinks ,motorcycle ,21,9.192
29,4.4,Meal ,motorcycle ,20,3.116
34,5,Drinks ,scooter ,45,10.807
27,4.9,Buffet ,scooter ,15,8.938
31,4.9,Meal ,motorcycle ,25,3.025
22,4.5,Snack ,motorcycle ,11,1.537
37,4.6,Snack ,motorcycle ,29,12.238
23,4.6,Drinks ,motorcycle ,22,1.573
39,4.8,Buffet ,motorcycle ,23,6.117
30,4.7,Buffet ,motorcycle ,24,16.852
27,4.5,Meal ,electric_scooter ,26,6.129
29,4.6,Buffet ,motorcycle ,29,16.721
39,4.7,Buffet ,motorcycle ,26,4.674
29,4.8,Meal ,scooter ,17,13.184
29,4.6,Snack ,motorcycle ,22,17.099
35,4.3,Drinks ,motorcycle ,32,7.449
37,4.9,Buffet ,motorcycle ,21,7.762
35,4.2,Drinks ,motorcycle ,31,20.969
23,4.6,Buffet ,scooter ,15,19.661
22,4.7,Snack ,scooter ,12,4.674
21,4.4,Snack ,motorcycle ,27,4.579
29,4.6,Snack ,scooter ,32,17.078
35,4.6,Buffet ,motorcycle ,29,1.544
29,4.7,Snack ,scooter ,13,6.117
36,4.7,Snack ,scooter ,28,12.101
34,3.6,Drinks ,electric_scooter ,37,12.243
23,4.7,Snack ,motorcycle ,24,20.852
26,4.4,Meal ,motorcycle ,36,17.139
23,4.7,Buffet ,scooter ,28,9.315
31,4.6,Buffet ,scooter ,17,12.099
35,4.9,Drinks ,motorcycle ,33,3.02
31,4.6,Buffet ,scooter ,18,11.008
21,4.9,Buffet ,motorcycle ,28,10.568
22,4.8,Buffet ,motorcycle ,28,6.29
27,4.9,Meal ,scooter ,13,10.255
26,4.2,Buffet ,motorcycle ,29,3.116
28,4.6,Drinks ,electric_scooter ,27,3.105
29,4.5,Meal ,scooter ,17,3.105
35,4.6,Buffet ,motorcycle ,27,6.051
25,4.5,Drinks ,motorcycle ,25,20.178
20,5,Snack ,motorcycle ,16,3.019
37,4.9,Drinks ,motorcycle ,41,3.109
29,4.6,Meal ,motorcycle ,15,3.064
32,4.8,Meal ,motorcycle ,17,7.546
35,4.3,Drinks ,motorcycle ,44,10.881
29,4.6,Buffet ,scooter ,15,19.973
20,4.8,Drinks ,scooter ,27,9.179
37,4.7,Snack ,scooter ,28,13.989
20,4.4,Meal ,motorcycle ,28,2.98
35,4.9,Buffet ,scooter ,28,13.393
23,4.8,Meal ,motorcycle ,28,4.54
27,4.8,Drinks ,motorcycle ,16,1.554
27,5,Meal ,motorcycle ,21,11.008
35,4.9,Drinks ,scooter ,43,13.406
38,4.9,Drinks ,motorcycle ,42,12.101
21,4.9,Drinks ,motorcycle ,43,10.725
26,4.9,Buffet ,motorcycle ,28,13.583
22,5,Snack ,motorcycle ,11,14.022
37,4.6,Drinks ,motorcycle ,37,16.825
31,4.9,Meal ,motorcycle ,28,14.153
29,4.6,Meal ,scooter ,47,13.681
33,4.3,Buffet ,scooter ,43,20.181
38,4.8,Meal ,electric_scooter ,29,3.03
38,4.6,Drinks ,scooter ,18,1.561
28,4.9,Meal ,motorcycle ,12,4.561
31,4.7,Drinks ,scooter ,25,1.573
39,4.6,Snack ,scooter ,20,7.719
20,4.7,Meal ,motorcycle ,32,13.971
31,4.5,Meal ,motorcycle ,25,4.658
30,4.6,Meal ,motorcycle ,39,5.992
20,4.2,Snack ,motorcycle ,39,13.789
34,4.8,Meal ,motorcycle ,20,19.886
34,4.9,Buffet ,scooter ,15,6.218
36,4.7,Drinks ,motorcycle ,18,13.894
32,4.8,Drinks ,motorcycle ,23,1.553
29,4.6,Snack ,motorcycle ,53,19.618
36,4.6,Drinks ,motorcycle ,18,7.562
23,4.5,Meal ,motorcycle ,11,6.21
24,4.9,Buffet ,motorcycle ,24,8.938
20,4.1,Meal ,motorcycle ,32,16.151
21,4.6,Drinks ,motorcycle ,16,19.659
29,4.9,Meal ,scooter ,37,17.074
33,4.8,Snack ,motorcycle ,27,6.129
28,4.7,Meal ,motorcycle ,26,12.418
35,4.9,Meal ,motorcycle ,15,12.418
28,4.8,Snack ,motorcycle ,16,16.818
22,4.9,Drinks ,motorcycle ,26,9.315
36,4.9,Snack ,scooter ,17,9.056
30,4.9,Meal ,scooter ,32,7.79
28,4.7,Buffet ,electric_scooter ,12,9.122
26,4.7,Meal ,scooter ,24,6.041
36,4.6,Drinks ,motorcycle ,28,1.554
25,4.6,Snack ,motorcycle ,26,6.128
21,4.7,Meal ,motorcycle ,22,10.427
20,4.8,Buffet ,motorcycle ,40,17.073
32,4.5,Drinks ,motorcycle ,23,10.906
24,4.6,Meal ,motorcycle ,16,7.562
32,4.7,Meal ,motorcycle ,47,14.153
37,3.7,Drinks ,scooter ,32,12.464
36,4.7,Buffet ,electric_scooter ,30,4.657
34,4.6,Snack ,electric_scooter ,21,17.298
25,4.8,Snack ,motorcycle ,23,8.938
37,4.5,Buffet ,scooter ,25,6.147
25,4.8,Meal ,motorcycle ,22,6.105
35,4.7,Snack ,electric_scooter ,15,11.008
21,4.8,Meal ,motorcycle ,18,1.553
30,4.9,Snack ,motorcycle ,48,10.867
36,4.5,Meal ,scooter ,18,9.076
30,4.5,Drinks ,motorcycle ,26,1.573
20,4.7,Drinks ,motorcycle ,20,7.325
22,5,Drinks ,electric_scooter ,18,19.396
21,4.9,Snack ,motorcycle ,18,10.593
36,4.9,Buffet ,scooter ,26,7.648
28,4.7,Meal ,scooter ,21,10.866
36,4.6,Snack ,motorcycle ,29,3.064
38,4,Buffet ,scooter ,34,5.875
33,4.9,Buffet ,motorcycle ,12,4.664
29,5,Meal ,motorcycle ,14,2.98
21,5,Drinks ,motorcycle ,16,10.882
31,3.5,Buffet ,electric_scooter ,32,10.881
25,4.9,Snack ,motorcycle ,15,4.47
20,4.7,Drinks ,scooter ,17,6.218
23,4.4,Drinks ,motorcycle ,36,12.485
38,4.8,Meal ,motorcycle ,29,12.58
31,5,Meal ,motorcycle ,25,13.972
32,5,Snack ,scooter ,33,6.05
37,4.7,Drinks ,scooter ,21,19.76
28,4.7,Meal ,motorcycle ,19,7.651
23,5,Snack ,motorcycle ,37,9.075
36,4.6,Meal ,motorcycle ,28,3.105
21,5,Snack ,motorcycle ,20,4.718
25,4.5,Drinks ,scooter ,19,19.042
23,4.9,Buffet ,motorcycle ,22,20.969
31,4.7,Meal ,motorcycle ,30,4.469
35,4.6,Buffet ,motorcycle ,18,4.658
39,4.7,Snack ,scooter ,26,12.107
20,4.6,Buffet ,scooter ,19,9.348
35,4.9,Drinks ,motorcycle ,37,6.05
21,4.6,Drinks ,motorcycle ,25,7.863
31,4.7,Buffet ,motorcycle ,29,3.104
32,4.8,Buffet ,scooter ,20,20.443
22,4.8,Buffet ,scooter ,18,3.041
30,4.6,Drinks ,motorcycle ,25,4.596
22,4.7,Meal ,scooter ,22,7.325
30,4.8,Meal ,motorcycle ,22,4.682
34,4.9,Drinks ,motorcycle ,23,4.682
34,4.8,Meal ,motorcycle ,17,9.122
37,4.8,Meal ,electric_scooter ,26,12.081
29,4.6,Drinks ,motorcycle ,18,6.053
34,4.6,Drinks ,motorcycle ,22,13.612
33,4.4,Snack ,motorcycle ,33,8.953
39,4.6,Snack ,motorcycle ,28,7.72
29,4.6,Snack ,motorcycle ,22,16.82
32,4.7,Drinks ,motorcycle ,25,3.116
32,4.9,Meal ,motorcycle ,27,7.55
34,4.6,Buffet ,motorcycle ,46,9.194
24,4.6,Snack ,scooter ,20,20.852
33,5,Drinks ,motorcycle ,36,12.294
24,5,Drinks ,motorcycle ,21,13.622
39,4.1,Buffet ,motorcycle ,27,7.646
36,4.7,Snack ,motorcycle ,21,1.509
33,4.6,Drinks ,motorcycle ,26,19.761
21,4.6,Buffet ,electric_scooter ,15,1.561
26,4.1,Buffet ,motorcycle ,17,7.563
21,5,Snack ,scooter ,11,3.105
34,4.4,Drinks ,motorcycle ,34,4.658
25,4.9,Snack ,motorcycle ,19,9.181
37,4.8,Buffet ,motorcycle ,28,4.465
29,4.5,Meal ,scooter ,20,1.52
33,4.6,Snack ,scooter ,25,11.905
22,4.6,Buffet ,motorcycle ,39,10.588
36,4.9,Meal ,motorcycle ,43,19.915
25,4.6,Snack ,motorcycle ,19,3.025
21,4.9,Buffet ,motorcycle ,30,12.418
33,4.8,Buffet ,motorcycle ,18,16.66
32,4.6,Buffet ,scooter ,32,3.109
36,4.9,Meal ,electric_scooter ,18,9.076
27,5,Buffet ,motorcycle ,11,6.129
36,4.8,Meal ,scooter ,30,8.938
22,4.9,Snack ,motorcycle ,22,7.721
36,4.9,Buffet ,scooter ,34,17.078
21,4.6,Drinks ,scooter ,13,6.081
32,4.8,Meal ,motorcycle ,41,10.565
21,4.6,Meal ,motorcycle ,28,17.139
37,4.6,Meal ,scooter ,15,8.988
36,4.9,Buffet ,scooter ,24,16.721
21,4.8,Buffet ,motorcycle ,16,11.917
28,4.6,Snack ,scooter ,21,7.79
22,4.3,Drinks ,motorcycle ,35,13.969
25,4.7,Meal ,motorcycle ,29,6.21
24,4.3,Buffet ,motorcycle ,37,6.038
38,4.7,Buffet ,scooter ,16,4.674
33,4.5,Drinks ,scooter ,18,13.407
30,4.6,Snack ,motorcycle ,42,19.917
29,4.6,Snack ,scooter ,18,4.718
38,4.9,Snack ,motorcycle ,26,9.193
20,5,Snack ,scooter ,24,10.867
34,4.4,Snack ,motorcycle ,42,13.831
21,4.9,Drinks ,scooter ,21,17.098
26,4.6,Buffet ,motorcycle ,15,17.298
31,4.7,Drinks ,electric_scooter ,20,13.393
31,4.7,Snack ,motorcycle ,30,11.918
21,4.5,Meal ,scooter ,25,19.883
22,4.9,Snack ,scooter ,23,4.718
22,4.8,Snack ,motorcycle ,10,14.022
37,4.4,Meal ,motorcycle ,33,6.122
25,4.9,Meal ,motorcycle ,22,16.825
36,4.8,Snack ,scooter ,19,10.867
30,4.6,Meal ,scooter ,26,7.448
27,4.8,Buffet ,motorcycle ,15,16.903
34,4.6,Buffet ,motorcycle ,19,3.105
30,4.6,Meal ,scooter ,28,10.602
28,5,Snack ,scooter ,25,13.406
24,4.7,Snack ,motorcycle ,26,4.396
23,4.9,Drinks ,motorcycle ,28,4.658
35,4,Drinks ,motorcycle ,37,10.906
26,4.8,Snack ,motorcycle ,16,16.721
20,4.6,Drinks ,electric_scooter ,10,1.573
24,4.8,Drinks ,scooter ,29,11.008
30,4.8,Buffet ,motorcycle ,26,9.088
29,4.6,Meal ,scooter ,29,9.435
29,4.9,Meal ,motorcycle ,18,4.407
34,4.7,Buffet ,motorcycle ,25,7.645
22,4.8,Meal ,motorcycle ,20,9.348
38,4.6,Drinks ,scooter ,18,3.105
34,5,Drinks ,electric_scooter ,30,4.658
24,4.9,Buffet ,motorcycle ,13,3.116
24,4.6,Drinks ,scooter ,13,6.232
37,4.8,Snack ,motorcycle ,50,10.881
29,4.8,Buffet ,scooter ,29,6.218
37,4.3,Buffet ,motorcycle ,36,3.105
37,4.6,Meal ,electric_scooter ,22,3.073
33,4.8,Meal ,scooter ,23,1.49
33,4.7,Meal ,motorcycle ,33,6.147
30,4.7,Buffet ,motorcycle ,26,4.611
20,4.9,Buffet ,motorcycle ,27,19.976
27,4.9,Drinks ,motorcycle ,47,20.253
37,4.9,Buffet ,scooter ,29,8.938
27,4.5,Meal ,scooter ,26,19.762
31,4.7,Meal ,motorcycle ,25,4.657
29,4.6,Meal ,scooter ,22,12.237
21,5,Buffet ,scooter ,17,1.515
38,4.7,Buffet ,motorcycle ,28,10.417
29,4.6,Meal ,scooter ,27,12.117
39,4.3,Meal ,electric_scooter ,42,16.601
34,5,Drinks ,scooter ,25,12.484
26,4.7,Buffet ,motorcycle ,42,20.181
27,4.4,Snack ,motorcycle ,18,1.49
36,4.1,Buffet ,motorcycle ,33,5.86
27,4.7,Snack ,scooter ,16,19.043
22,4.6,Buffet ,motorcycle ,17,11.008
29,4.6,Meal ,motorcycle ,23,3.109
25,4.9,Drinks ,electric_scooter ,14,16.649
25,4.6,Drinks ,scooter ,10,1.515
20,4.6,Meal ,scooter ,16,12.162
28,4.5,Buffet ,electric_scooter ,15,14.153
23,4.5,Drinks ,electric_scooter ,25,16.601
38,4.9,Buffet ,electric_scooter ,23,13.785
36,4.6,Drinks ,scooter ,16,5.959
33,4.2,Drinks ,motorcycle ,23,3.064
38,4.6,Meal ,electric_scooter ,28,12.58
20,4.9,Snack ,scooter ,14,3.059
33,5,Drinks ,scooter ,18,6.211
23,4.6,Meal ,motorcycle ,26,16.852
29,4.6,Meal ,motorcycle ,42,10.569
28,4.1,Buffet ,motorcycle ,53,6.29
30,4.8,Buffet ,scooter ,25,10.565
37,4.8,Drinks ,motorcycle ,48,12.074
21,4.8,Drinks ,scooter ,17,16.721
39,4,Buffet ,motorcycle ,54,13.583
39,4.7,Buffet ,motorcycle ,21,13.989
35,4.5,Snack ,motorcycle ,19,12.58
31,4.5,Drinks ,motorcycle ,26,10.881
34,5,Snack ,scooter ,22,19.916
31,4.7,Snack ,scooter ,26,7.772
26,5,Drinks ,motorcycle ,14,9.056
36,5,Meal ,motorcycle ,27,13.612
24,4.9,Meal ,motorcycle ,19,4.663
30,4.6,Drinks ,motorcycle ,40,20.968
39,4.2,Meal ,scooter ,38,14.022
20,4.8,Meal ,scooter ,11,13.83
30,4.8,Meal ,motorcycle ,24,7.448
36,4.6,Snack ,motorcycle ,49,10.564
37,4.8,Buffet ,motorcycle ,29,7.761
38,5,Drinks ,scooter ,26,1.553
39,4.4,Drinks ,motorcycle ,26,1.49
29,4.5,Buffet ,electric_scooter ,13,1.558
36,4.9,Drinks ,motorcycle ,44,10.603
26,4.5,Buffet ,scooter ,15,20.178
22,5,Buffet ,motorcycle ,24,12.464
38,4.9,Snack ,scooter ,15,2.979
23,4.9,Buffet ,motorcycle ,19,19.688
30,4.6,Meal ,motorcycle ,22,17.138
28,4,Snack ,scooter ,32,12.58
30,4.8,Snack ,motorcycle ,25,4.682
31,4.9,Buffet ,motorcycle ,30,6.081
23,4.8,Meal ,scooter ,28,16.902
28,4.6,Snack ,scooter ,17,7.79
34,4.7,Snack ,motorcycle ,30,12.436
29,4.5,Meal ,electric_scooter ,12,4.663
29,4.7,Snack ,motorcycle ,27,20.206
34,4.8,Buffet ,scooter ,31,8.936
25,4.7,Meal ,scooter ,16,17.074
31,4.7,Meal ,motorcycle ,28,1.573
28,5,Drinks ,motorcycle ,22,20.443
27,5,Buffet ,scooter ,19,10.756
20,4.8,Buffet ,motorcycle ,24,19.89
22,4.6,Drinks ,scooter ,18,7.66
27,4.9,Buffet ,scooter ,27,17.298
31,4,Drinks ,motorcycle ,31,6.05
37,4.8,Drinks ,motorcycle ,18,13.829
29,4.6,Meal ,scooter ,39,16.853
31,4.7,Snack ,motorcycle ,40,13.611
31,4.9,Meal ,scooter ,29,1.553
25,4.8,Drinks ,motorcycle ,38,13.79
29,4.6,Snack ,electric_scooter ,18,4.718
21,4.6,Drinks ,motorcycle ,28,10.594
29,4.2,Drinks ,motorcycle ,32,13.406
39,3.7,Meal ,scooter ,38,12.099
34,4.9,Buffet ,scooter ,17,7.49
38,4.8,Snack ,motorcycle ,39,17.077
24,4.7,Snack ,electric_scooter ,13,3.109
25,5,Meal ,electric_scooter ,13,4.658
34,4.8,Buffet ,motorcycle ,22,4.469
39,4.9,Buffet ,scooter ,17,4.395
32,4.4,Drinks ,scooter ,49,20.848
22,4.5,Buffet ,motorcycle ,27,6.129
28,4.6,Drinks ,motorcycle ,26,13.83
25,4.7,Buffet ,motorcycle ,19,1.52
28,4.6,Drinks ,motorcycle ,22,19.087
27,4.9,Snack ,scooter ,21,19.619
22,4.9,Meal ,motorcycle ,23,9.316
33,4.7,Drinks ,motorcycle ,29,9.088
32,4.4,Buffet ,motorcycle ,54,16.853
39,4.8,Drinks ,scooter ,33,1.553
33,4.6,Drinks ,scooter ,20,2.985
24,4.6,Meal ,electric_scooter ,19,20.181
34,4.6,Buffet ,motorcycle ,49,12.58
36,4.7,Buffet ,motorcycle ,45,10.641
34,4.8,Drinks ,scooter ,30,12.58
20,4.5,Snack ,electric_scooter ,22,19.618
36,4.9,Drinks ,motorcycle ,21,12.099
35,4.1,Buffet ,motorcycle ,40,19.363
35,4.3,Buffet ,motorcycle ,36,6.129
29,4.6,Snack ,motorcycle ,27,10.563
28,3.9,Meal ,motorcycle ,40,1.515
28,4.6,Snack ,motorcycle ,21,3.121
34,4.6,Meal ,scooter ,25,1.492
28,4.3,Buffet ,scooter ,44,16.636
39,4.7,Meal ,scooter ,21,16.412
39,4.6,Snack ,motorcycle ,46,12.107
24,4.9,Meal ,scooter ,28,4.541
31,4.6,Drinks ,motorcycle ,36,14.153
29,4.2,Buffet ,motorcycle ,21,3.025
29,4.7,Buffet ,motorcycle ,47,12.257
36,4.9,Drinks ,motorcycle ,29,2.98
30,4.8,Snack ,motorcycle ,20,20.887
28,4.9,Meal ,scooter ,18,9.364
37,3.7,Drinks ,scooter ,39,19.975
21,4.9,Meal ,scooter ,11,4.561
26,3.4,Meal ,scooter ,41,12.419
23,4.7,Drinks ,motorcycle ,37,17.099
21,4.8,Drinks ,motorcycle ,16,12.464
38,4.8,Meal ,motorcycle ,16,3.106
38,4.7,Snack ,electric_scooter ,30,4.674
26,4.8,Snack ,motorcycle ,37,10.642
31,4.7,Buffet ,motorcycle ,17,4.597
35,4.8,Meal ,motorcycle ,23,6.05
25,4.7,Snack ,motorcycle ,11,12.465
27,4.6,Meal ,motorcycle ,33,13.99
34,4.5,Buffet ,motorcycle ,51,19.688
26,4.5,Buffet ,motorcycle ,22,1.52
28,5,Drinks ,motorcycle ,24,6.05
30,4.5,Drinks ,scooter ,25,17.098
28,4.7,Meal ,scooter ,23,12.257
26,4.9,Snack ,motorcycle ,17,6.128
34,4.1,Meal ,scooter ,32,9.054
29,4.6,Drinks ,scooter ,26,18382.199
34,4.8,Drinks ,scooter ,26,6.128
20,4.1,Snack ,motorcycle ,46,6.21
31,4.6,Meal ,motorcycle ,19,4.53
32,4.7,Snack ,motorcycle ,50,10.906
28,4.1,Drinks ,motorcycle ,37,19.915
29,4.1,Meal ,motorcycle ,33,16.609
33,4,Snack ,motorcycle ,32,1.53
35,4.6,Buffet ,motorcycle ,32,9.314
34,4.8,Drinks ,motorcycle ,29,8.953
24,4.6,Buffet ,motorcycle ,18,9.055
24,4.7,Buffet ,motorcycle ,23,6.29
